,Gene name,mito,ORF,value,R value,P value,BH
247,MRPL13,mito,YKR006C,0.000180636653539742,-0.05391424777827003,0.7099974387006317,1.059189199719154
248,ALT1,mito,YLR089C,0.00017990815333405072,-0.03073619425368585,0.8357113008314953,1.1393791703582674
249,CYR1,mito,YJL005W,0.00017688279961721308,-0.08964109290672113,0.5401911150011921,0.9411378570066617
250,AFG3,mito,YER017C,0.0001757335920451989,0.043322756942486905,0.7651458686796044,1.0942081835183974
251,MRPS16,mito,YPL013C,0.00017508340804487445,0.010734838878497476,0.9416421363979544,1.2003041768471874
252,UTP10,mito,YJL109C,0.0001739372006913982,-0.2941254214316905,0.03814595564995828,0.3048111409412554
253,SDH3,core,YKL141W,0.00017331937871265814,0.5367507222910541,8.393464656369988e-05,0.0038020727317596504
254,SMC1,mito,YFL008W,0.00017294671997293538,-0.11039896313224208,0.45015560885659933,0.8710224510832077
255,EHD3,mito,YDR036C,0.00017090375224431892,0.1862425801362635,0.20009281588335237,0.6353922287103668
256,COQ5,core,YML110C,0.00017048924284667245,-0.03202895002455042,0.8252425861557888,1.131194246353827
257,GRX5,mito,YPL059W,0.0001681013776089378,0.006273851016151781,0.9655092965361969,1.2168939724170973
258,YIM1,mito,YMR152W,0.0001679361932788489,-0.07479889666081896,0.6056765719890587,0.989450143875128
259,AIM10,mito,YER087W,0.00016576798797390078,0.06324277099881184,0.6727923518403687,1.033902423407801
260,LYS4,mito,YDR234W,0.0001652095267672864,-0.03939267148400483,0.7859231609437067,1.1081662380653379
261,GPD2,core,YOL059W,0.00016432469740964724,-0.1431579185635183,0.3212968663190065,0.7503142934865158
262,MSS116,mito,YDR194C,0.0001641740070954431,-0.1460025686826574,0.31167378109473415,0.7693427147917653
263,RDL2,mito,YOR286W,0.00016189171393915126,-0.07708399535075672,0.6319186092557041,1.008945678643561
264,MSC6,mito,YOR354C,0.00016181825382707634,0.01523933093391412,0.9163449746185668,1.1828268779752777
265,CDC28,mito,YBR160W,0.0001584390071399212,0.04740092356869685,0.7437575716878879,1.0801065372282703
266,CBP6,core,YBR120C,0.00015730936795837046,0.258250247050218,0.07017632091531471,0.4057531995441696
267,MRPS8,mito,YMR158W,0.0001571908330244457,0.0374916035427721,0.8024356222351487,1.1187647077228735
268,CYC7,mito,YEL039C,0.00015618650875085546,0.08116644239880742,0.5834030272026096,0.9718647603667437
269,CBF1,mito,YJR060W,0.00015494523802337307,-0.22545300273776975,0.11933785844940865,0.5159740529671019
270,IFM1,mito,YOL023W,0.00015378304255978014,0.2526832355628707,0.07983048951417367,0.429953187619644
271,SSQ1,mito,YLR369W,0.00015360315027519876,0.023997161461868182,0.8686154101457473,1.1595100322788663
