,LFQ Intensity A549_1,LFQ Intensity A549_2,LFQ Intensity A549_3,LFQ Intensity GAMG_1,LFQ Intensity GAMG_2,LFQ Intensity GAMG_3,LFQ Intensity HEK293_1,LFQ Intensity HEK293_2,LFQ Intensity HEK293_3,LFQ Intensity HeLa_1,LFQ Intensity HeLa_2,LFQ Intensity HeLa_3,LFQ Intensity HepG2_1,LFQ Intensity HepG2_2,LFQ Intensity HepG2_3,LFQ Intensity Jurkat_1,LFQ Intensity Jurkat_2,LFQ Intensity Jurkat_3,LFQ Intensity K562_1,LFQ Intensity K562_2,LFQ Intensity K562_3,LFQ Intensity LnCap_1,LFQ Intensity LnCap_2,LFQ Intensity LnCap_3,LFQ Intensity MCF7_1,LFQ Intensity MCF7_2,LFQ Intensity MCF7_3,LFQ Intensity RKO_1,LFQ Intensity RKO_2,LFQ Intensity RKO_3,LFQ Intensity U2OS_1,LFQ Intensity U2OS_2,LFQ Intensity U2OS_3,Gene name
159,,,,,,,,,,,3.630375877329885e-06,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,2.4290881517968836e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,OLFML2B
161,,,3.33172983045212e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KIAA0048;SP2
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.613579131181332e-07,C16orf48;UNQ6410/PRO21183
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C16orf31;SPSB3;SSB3;hCG_42718
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4698013396003263e-06,,UNQ773/PRO1567;ZG16B;PAUF
165,,,,,,,,,1.0547529234844629e-06,,,,,,,,,,,,,,,,,,,,,,,,,CAMKV;hCG_95981
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAM174A;NS5ATP6;TMEM157;UNQ1912/PRO4371
167,,,,,,,,,,,,,,,,,,3.9455022975400097e-07,,,,,,,,,,,,,,,,BDP1;PTPN18;hCG_1992147
168,,,,,1.0255498296236447e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAM70B
169,,,,,,,,,,,,,,,,,,,,,,,,1.0540619140755544e-06,,,,,,,,,,ETV1;ER81;DKFZp781L0674
170,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0758567304565032e-06,,,,,,C9orf91
171,,,,,,,,,,,,,,,,,,1.463087502415715e-06,,,,,,,,,,,,,,,,ST1B2;SULT1B1;SULT1B2
172,,,,,,,,,,,,,,,,,,,,,,,,5.335966833036361e-07,,,,,,,,,,DSCR1L2;RCAN3
173,,,,,,,,,,,,1.0777398630501585e-06,,,,,,,,,,,,,,,,,,,,,,PHYHD1;RP11-101E3.2-013
174,,,,,,,,,,,,,,,,,,,,,2.111588467829345e-06,,,,,,,,,,,,,EFCAB2
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.606814172794379e-07,TPP1;TTPA
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4832213887139079e-06,,,,CLDN12
177,,,,,,,,,,,,,,,,,,,,,,,,3.787207681518642e-07,,,,,,,,,,F13A;F13A1;RP11-232H4.1-004;RP11-232H4.1-003
