Gene name,LFQ Intensity A549_1,LFQ Intensity A549_2,LFQ Intensity A549_3,LFQ Intensity GAMG_1,LFQ Intensity GAMG_2,LFQ Intensity GAMG_3,LFQ Intensity HEK293_1,LFQ Intensity HEK293_2,LFQ Intensity HEK293_3,LFQ Intensity HeLa_1,LFQ Intensity HeLa_2,LFQ Intensity HeLa_3,LFQ Intensity HepG2_1,LFQ Intensity HepG2_2,LFQ Intensity HepG2_3,LFQ Intensity Jurkat_1,LFQ Intensity Jurkat_2,LFQ Intensity Jurkat_3,LFQ Intensity K562_1,LFQ Intensity K562_2,LFQ Intensity K562_3,LFQ Intensity LnCap_1,LFQ Intensity LnCap_2,LFQ Intensity LnCap_3,LFQ Intensity MCF7_1,LFQ Intensity MCF7_2,LFQ Intensity MCF7_3,LFQ Intensity RKO_1,LFQ Intensity RKO_2,LFQ Intensity RKO_3,LFQ Intensity U2OS_1,LFQ Intensity U2OS_2,LFQ Intensity U2OS_3
C1orf91;PP1065;UNQ548/PRO1105,,,,,,,,,,7.767534156149401e-07,,,,,,,,,,,,,,,,,,,,,,,
PLCXD3,2.8639793900645134e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C22orf13;hCG_41202;LLN4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2132996812881162e-06,,
ZBTB9;DASS-97D12.7-001;hCG_1781796;XXbac-BPG294E21.8-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1562206547873437e-05,,,
GAL;GAL1;GALN;GLNN,,,,,,,,,,,,,,,,,,,9.231118747787068e-07,,,,,,,,,,,,,,
TCTN1;TECT1;UNQ9369/PRO34160,,,,,,,,,,,,,,,,,,,,,,,,,,,7.001209293471444e-07,,,,,,
ICHN;NIPA4;NIPAL4,,,3.993191927112485e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1orf32;ILDR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.786069068607446e-07
nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC30A3;ZNT3,,,,,,,,,,,,,,,,,,4.499030169157902e-07,,,,,,,,,,,,,,,
